mindists:35 ,param2:25 ,minRadius:90 ,Mean Jaccard: 0.430862815039
mindists:35 ,param2:15 ,minRadius:80 ,Mean Jaccard: 0.45090411247
mindists:35 ,param2:25 ,minRadius:50 ,Mean Jaccard: 0.61443218472
mindists:35 ,param2:10 ,minRadius:80 ,Mean Jaccard: 0.45090411247
mindists:35 ,param2:35 ,minRadius:80 ,Mean Jaccard: 0.499848255174
mindists:35 ,param2:30 ,minRadius:50 ,Mean Jaccard: 0.614477127169
mindists:35 ,param2:20 ,minRadius:90 ,Mean Jaccard: 0.389449111293
mindists:20 ,param2:25 ,minRadius:60 ,Mean Jaccard: 0.630485433495
mindists:35 ,param2:20 ,minRadius:50 ,Mean Jaccard: 0.61443218472
mindists:35 ,param2:35 ,minRadius:50 ,Mean Jaccard: 0.613852436544
mindists:35 ,param2:35 ,minRadius:90 ,Mean Jaccard: 0.446364201678
mindists:35 ,param2:15 ,minRadius:50 ,Mean Jaccard: 0.61443218472
mindists:35 ,param2:10 ,minRadius:50 ,Mean Jaccard: 0.61443218472
mindists:30 ,param2:10 ,minRadius:60 ,Mean Jaccard: 0.634288973841
mindists:35 ,param2:30 ,minRadius:60 ,Mean Jaccard: 0.641142566506
mindists:35 ,param2:35 ,minRadius:60 ,Mean Jaccard: 0.634481709497
mindists:35 ,param2:25 ,minRadius:60 ,Mean Jaccard: 0.641242284447
mindists:35 ,param2:15 ,minRadius:90 ,Mean Jaccard: 0.387176858737
mindists:40 ,param2:10 ,minRadius:40 ,Mean Jaccard: 0.546898652751
mindists:40 ,param2:15 ,minRadius:40 ,Mean Jaccard: 0.546898652751
mindists:40 ,param2:10 ,minRadius:70 ,Mean Jaccard: 0.586684865305
mindists:40 ,param2:20 ,minRadius:70 ,Mean Jaccard: 0.586684865305
mindists:20 ,param2:15 ,minRadius:50 ,Mean Jaccard: 0.583228451852
mindists:40 ,param2:30 ,minRadius:70 ,Mean Jaccard: 0.593254796309
mindists:40 ,param2:15 ,minRadius:70 ,Mean Jaccard: 0.586684865305
mindists:40 ,param2:20 ,minRadius:40 ,Mean Jaccard: 0.546898652751
mindists:40 ,param2:25 ,minRadius:70 ,Mean Jaccard: 0.587198380266
mindists:35 ,param2:20 ,minRadius:60 ,Mean Jaccard: 0.641242284447
mindists:40 ,param2:25 ,minRadius:40 ,Mean Jaccard: 0.546898652751
mindists:40 ,param2:30 ,minRadius:40 ,Mean Jaccard: 0.546898652751
mindists:35 ,param2:10 ,minRadius:90 ,Mean Jaccard: 0.387176858737
mindists:40 ,param2:35 ,minRadius:40 ,Mean Jaccard: 0.546909919216
mindists:40 ,param2:30 ,minRadius:80 ,Mean Jaccard: 0.496162806146
mindists:20 ,param2:10 ,minRadius:80 ,Mean Jaccard: 0.516743409953
mindists:40 ,param2:35 ,minRadius:70 ,Mean Jaccard: 0.581689613786
mindists:35 ,param2:15 ,minRadius:60 ,Mean Jaccard: 0.641242284447
mindists:40 ,param2:30 ,minRadius:90 ,Mean Jaccard: 0.500864412002
mindists:40 ,param2:25 ,minRadius:80 ,Mean Jaccard: 0.46417325669
mindists:40 ,param2:20 ,minRadius:80 ,Mean Jaccard: 0.456995494281
mindists:40 ,param2:35 ,minRadius:80 ,Mean Jaccard: 0.505507724618
mindists:20 ,param2:15 ,minRadius:90 ,Mean Jaccard: 0.42749817411
mindists:40 ,param2:35 ,minRadius:50 ,Mean Jaccard: 0.629031442951
mindists:35 ,param2:10 ,minRadius:60 ,Mean Jaccard: 0.641242284447
mindists:40 ,param2:35 ,minRadius:90 ,Mean Jaccard: 0.446521833524
mindists:40 ,param2:30 ,minRadius:50 ,Mean Jaccard: 0.629807123414
mindists:40 ,param2:25 ,minRadius:90 ,Mean Jaccard: 0.425947773011
mindists:40 ,param2:25 ,minRadius:50 ,Mean Jaccard: 0.62976779304
mindists:40 ,param2:15 ,minRadius:80 ,Mean Jaccard: 0.456911965252
mindists:40 ,param2:20 ,minRadius:50 ,Mean Jaccard: 0.62976779304
mindists:40 ,param2:15 ,minRadius:50 ,Mean Jaccard: 0.62976779304
mindists:20 ,param2:20 ,minRadius:60 ,Mean Jaccard: 0.630485433495
mindists:40 ,param2:20 ,minRadius:90 ,Mean Jaccard: 0.382901252785
mindists:40 ,param2:10 ,minRadius:80 ,Mean Jaccard: 0.456911965252
mindists:20 ,param2:10 ,minRadius:50 ,Mean Jaccard: 0.583228451852
mindists:40 ,param2:35 ,minRadius:60 ,Mean Jaccard: 0.637936405341
mindists:40 ,param2:10 ,minRadius:50 ,Mean Jaccard: 0.62976779304
mindists:50 ,param2:10 ,minRadius:40 ,Mean Jaccard: 0.567293871151
mindists:40 ,param2:30 ,minRadius:60 ,Mean Jaccard: 0.645096552063
mindists:50 ,param2:10 ,minRadius:70 ,Mean Jaccard: 0.531791834604
mindists:50 ,param2:15 ,minRadius:40 ,Mean Jaccard: 0.567293871151
mindists:50 ,param2:20 ,minRadius:70 ,Mean Jaccard: 0.531791834604
mindists:50 ,param2:15 ,minRadius:70 ,Mean Jaccard: 0.531791834604
mindists:50 ,param2:30 ,minRadius:70 ,Mean Jaccard: 0.545941337286
mindists:50 ,param2:25 ,minRadius:40 ,Mean Jaccard: 0.567293871151
mindists:50 ,param2:25 ,minRadius:70 ,Mean Jaccard: 0.533338321276
mindists:50 ,param2:20 ,minRadius:40 ,Mean Jaccard: 0.567293871151
mindists:40 ,param2:25 ,minRadius:60 ,Mean Jaccard: 0.645333970608
mindists:50 ,param2:30 ,minRadius:40 ,Mean Jaccard: 0.567289179581
mindists:40 ,param2:15 ,minRadius:90 ,Mean Jaccard: 0.380335240704
mindists:50 ,param2:30 ,minRadius:80 ,Mean Jaccard: 0.495252770662
mindists:50 ,param2:35 ,minRadius:40 ,Mean Jaccard: 0.567117001014
mindists:40 ,param2:20 ,minRadius:60 ,Mean Jaccard: 0.645333970608
