mindists:20 ,param2:35 ,minRadius:90 ,Mean Jaccard: 0.480406147196
mindists:20 ,param2:35 ,minRadius:40 ,Mean Jaccard: 0.535482357639
mindists:20 ,param2:30 ,minRadius:50 ,Mean Jaccard: 0.646771339819
mindists:30 ,param2:15 ,minRadius:70 ,Mean Jaccard: 0.662428440783
mindists:20 ,param2:25 ,minRadius:60 ,Mean Jaccard: 0.710988283137
mindists:30 ,param2:10 ,minRadius:80 ,Mean Jaccard: 0.552423661666
mindists:20 ,param2:20 ,minRadius:70 ,Mean Jaccard: 0.716826643821
mindists:20 ,param2:35 ,minRadius:50 ,Mean Jaccard: 0.646390875154
mindists:30 ,param2:10 ,minRadius:40 ,Mean Jaccard: 0.549936990922
mindists:20 ,param2:30 ,minRadius:60 ,Mean Jaccard: 0.710722966271
mindists:20 ,param2:15 ,minRadius:80 ,Mean Jaccard: 0.613685752503
mindists:20 ,param2:25 ,minRadius:70 ,Mean Jaccard: 0.716544843132
mindists:30 ,param2:15 ,minRadius:80 ,Mean Jaccard: 0.552423661666
mindists:20 ,param2:35 ,minRadius:60 ,Mean Jaccard: 0.708447266851
mindists:20 ,param2:30 ,minRadius:70 ,Mean Jaccard: 0.716962422832
mindists:20 ,param2:10 ,minRadius:90 ,Mean Jaccard: 0.458552281632
mindists:20 ,param2:35 ,minRadius:70 ,Mean Jaccard: 0.714589227931
mindists:20 ,param2:20 ,minRadius:80 ,Mean Jaccard: 0.613683929213
mindists:30 ,param2:10 ,minRadius:90 ,Mean Jaccard: 0.427790062561
mindists:20 ,param2:25 ,minRadius:80 ,Mean Jaccard: 0.615721419609
mindists:20 ,param2:30 ,minRadius:80 ,Mean Jaccard: 0.630761556123
mindists:20 ,param2:35 ,minRadius:80 ,Mean Jaccard: 0.635496665398
mindists:20 ,param2:30 ,minRadius:90 ,Mean Jaccard: 0.532710260156
mindists:30 ,param2:15 ,minRadius:90 ,Mean Jaccard: 0.427790062561
mindists:20 ,param2:25 ,minRadius:90 ,Mean Jaccard: 0.487782611157
mindists:20 ,param2:10 ,minRadius:40 ,Mean Jaccard: 0.535484692848
mindists:30 ,param2:10 ,minRadius:50 ,Mean Jaccard: 0.650427782614
mindists:20 ,param2:20 ,minRadius:90 ,Mean Jaccard: 0.460864301286
mindists:20 ,param2:15 ,minRadius:90 ,Mean Jaccard: 0.458552281632
mindists:30 ,param2:25 ,minRadius:50 ,Mean Jaccard: 0.650427782614
mindists:30 ,param2:20 ,minRadius:60 ,Mean Jaccard: 0.695559086695
mindists:30 ,param2:15 ,minRadius:40 ,Mean Jaccard: 0.549936990922
mindists:30 ,param2:20 ,minRadius:40 ,Mean Jaccard: 0.549936990922
mindists:20 ,param2:30 ,minRadius:40 ,Mean Jaccard: 0.535484692848
mindists:30 ,param2:25 ,minRadius:60 ,Mean Jaccard: 0.695551209624
mindists:30 ,param2:20 ,minRadius:70 ,Mean Jaccard: 0.662428440783
mindists:30 ,param2:10 ,minRadius:60 ,Mean Jaccard: 0.695559086695
mindists:30 ,param2:25 ,minRadius:70 ,Mean Jaccard: 0.662715949682
mindists:20 ,param2:25 ,minRadius:40 ,Mean Jaccard: 0.535484692848
mindists:30 ,param2:30 ,minRadius:40 ,Mean Jaccard: 0.549920881411
mindists:20 ,param2:15 ,minRadius:40 ,Mean Jaccard: 0.535484692848
mindists:30 ,param2:20 ,minRadius:50 ,Mean Jaccard: 0.650427782614
mindists:30 ,param2:20 ,minRadius:80 ,Mean Jaccard: 0.55267294439
mindists:30 ,param2:30 ,minRadius:90 ,Mean Jaccard: 0.525451327394
mindists:30 ,param2:15 ,minRadius:50 ,Mean Jaccard: 0.650427782614
mindists:30 ,param2:25 ,minRadius:80 ,Mean Jaccard: 0.55609760852
mindists:20 ,param2:20 ,minRadius:40 ,Mean Jaccard: 0.535484692848
mindists:30 ,param2:25 ,minRadius:90 ,Mean Jaccard: 0.464742564386
mindists:30 ,param2:30 ,minRadius:50 ,Mean Jaccard: 0.650498268398
mindists:30 ,param2:20 ,minRadius:90 ,Mean Jaccard: 0.43046072609
mindists:30 ,param2:35 ,minRadius:80 ,Mean Jaccard: 0.615393341866
mindists:30 ,param2:35 ,minRadius:40 ,Mean Jaccard: 0.549912098377
mindists:30 ,param2:35 ,minRadius:90 ,Mean Jaccard: 0.479536771041
mindists:30 ,param2:30 ,minRadius:60 ,Mean Jaccard: 0.695541390543
mindists:20 ,param2:10 ,minRadius:50 ,Mean Jaccard: 0.646704106529
mindists:30 ,param2:10 ,minRadius:70 ,Mean Jaccard: 0.662428440783
mindists:30 ,param2:35 ,minRadius:50 ,Mean Jaccard: 0.650229240229
mindists:20 ,param2:25 ,minRadius:50 ,Mean Jaccard: 0.646704106529
mindists:30 ,param2:30 ,minRadius:70 ,Mean Jaccard: 0.667809643849
mindists:30 ,param2:15 ,minRadius:60 ,Mean Jaccard: 0.695559086695
mindists:30 ,param2:25 ,minRadius:40 ,Mean Jaccard: 0.549936990922
mindists:30 ,param2:35 ,minRadius:60 ,Mean Jaccard: 0.694364291625
mindists:30 ,param2:30 ,minRadius:80 ,Mean Jaccard: 0.588191050291
mindists:35 ,param2:25 ,minRadius:90 ,Mean Jaccard: 0.452741588468
mindists:30 ,param2:35 ,minRadius:70 ,Mean Jaccard: 0.677216869783
mindists:35 ,param2:10 ,minRadius:40 ,Mean Jaccard: 0.557838449369
mindists:35 ,param2:30 ,minRadius:80 ,Mean Jaccard: 0.574695190614
mindists:35 ,param2:25 ,minRadius:40 ,Mean Jaccard: 0.557838449369
mindists:35 ,param2:30 ,minRadius:90 ,Mean Jaccard: 0.523039428616
mindists:35 ,param2:10 ,minRadius:70 ,Mean Jaccard: 0.650247130902
mindists:35 ,param2:15 ,minRadius:60 ,Mean Jaccard: 0.69361387645
mindists:35 ,param2:20 ,minRadius:50 ,Mean Jaccard: 0.650846040377
mindists:20 ,param2:20 ,minRadius:50 ,Mean Jaccard: 0.646704106529
