mindists:20 ,param2:35 ,minRadius:90 ,Mean Jaccard: 0.822215936505
mindists:20 ,param2:35 ,minRadius:40 ,Mean Jaccard: 0.49116692623
mindists:20 ,param2:30 ,minRadius:50 ,Mean Jaccard: 0.629059549837
mindists:30 ,param2:15 ,minRadius:70 ,Mean Jaccard: 0.556256672301
mindists:20 ,param2:25 ,minRadius:60 ,Mean Jaccard: 0.718211511905
mindists:30 ,param2:10 ,minRadius:80 ,Mean Jaccard: 0.470773504471
mindists:20 ,param2:20 ,minRadius:70 ,Mean Jaccard: 0.678358123438
mindists:20 ,param2:35 ,minRadius:50 ,Mean Jaccard: 0.629059549837
mindists:30 ,param2:10 ,minRadius:40 ,Mean Jaccard: 0.503205521679
mindists:20 ,param2:30 ,minRadius:60 ,Mean Jaccard: 0.718210914094
mindists:20 ,param2:15 ,minRadius:80 ,Mean Jaccard: 0.527539785132
mindists:20 ,param2:25 ,minRadius:70 ,Mean Jaccard: 0.678320728448
mindists:30 ,param2:15 ,minRadius:80 ,Mean Jaccard: 0.470773504471
mindists:20 ,param2:35 ,minRadius:60 ,Mean Jaccard: 0.716678628311
mindists:20 ,param2:30 ,minRadius:70 ,Mean Jaccard: 0.681590617602
mindists:20 ,param2:10 ,minRadius:90 ,Mean Jaccard: 0.451760058822
mindists:20 ,param2:35 ,minRadius:70 ,Mean Jaccard: 0.686120657744
mindists:30 ,param2:10 ,minRadius:90 ,Mean Jaccard: 0.43057917873
mindists:20 ,param2:20 ,minRadius:80 ,Mean Jaccard: 0.527539785132
mindists:20 ,param2:30 ,minRadius:80 ,Mean Jaccard: 0.5914420253
mindists:20 ,param2:25 ,minRadius:80 ,Mean Jaccard: 0.532486295023
mindists:20 ,param2:35 ,minRadius:80 ,Mean Jaccard: 0.675639708297
mindists:20 ,param2:30 ,minRadius:90 ,Mean Jaccard: 0.739413491791
mindists:30 ,param2:15 ,minRadius:90 ,Mean Jaccard: 0.43057917873
mindists:20 ,param2:25 ,minRadius:90 ,Mean Jaccard: 0.514546511589
mindists:20 ,param2:10 ,minRadius:40 ,Mean Jaccard: 0.49116692623
mindists:30 ,param2:10 ,minRadius:50 ,Mean Jaccard: 0.606200078384
mindists:20 ,param2:20 ,minRadius:90 ,Mean Jaccard: 0.452354412263
mindists:20 ,param2:15 ,minRadius:90 ,Mean Jaccard: 0.451760058822
mindists:30 ,param2:25 ,minRadius:50 ,Mean Jaccard: 0.606200078384
mindists:30 ,param2:20 ,minRadius:60 ,Mean Jaccard: 0.66704251187
mindists:30 ,param2:15 ,minRadius:40 ,Mean Jaccard: 0.503205521679
mindists:30 ,param2:20 ,minRadius:40 ,Mean Jaccard: 0.503205521679
mindists:20 ,param2:30 ,minRadius:40 ,Mean Jaccard: 0.49116692623
mindists:30 ,param2:25 ,minRadius:60 ,Mean Jaccard: 0.66704251187
mindists:30 ,param2:20 ,minRadius:70 ,Mean Jaccard: 0.556256672301
mindists:30 ,param2:10 ,minRadius:60 ,Mean Jaccard: 0.66704251187
mindists:30 ,param2:25 ,minRadius:70 ,Mean Jaccard: 0.556875051555
